Project,coingecko_handle,date_x,claimers,alloc_size,market,multiphase,type,seven_day_tvl,thirty_day_tvl,hundred_day_tvl,date_y,seven_day_price,thirty_day_price,hundred_day_price
tornado-cash,tornado-cash,2020-12-18 03:00:37,149336,33963883.8991189,1,1,protocol,29.095161869278492,297.7005968057396,885.3236340617107,2021-02-08 20:35:12,-6.729225462556731,-57.78561024875481,-84.38561242516161
arbitrum,arbitrum,2023-03-23 13:01:22,583137,1092811500.0,1,1,chain,5.534319531382748,1.6600523042143325,2.616255310717164,2023-03-23 14:01:26,-5.096242778737017,0.7059668346911967,-20.823904109045863
dydx,dydx-chain,2021-09-08 05:24:48,88556,243467388.0975401,1,1,protocol,28.64198128883033,126.4732581106883,134.62508657681235,2023-10-31 09:13:09,,29.295367484785565,17.94109165183995
x2y2,x2y2,2022-02-15 04:26:25,349434,3011120687.1071415,1,1,protocol,802.4542238444049,20936.647135960277,39973.91781021331,2022-02-15 06:37:43,-54.95080552842687,-90.8594373387988,-91.2495153462601
uniswap,uniswap,2020-09-16 21:32:52,220970,136992821.49465847,1,1,protocol,116.0634974238544,227.56547857878684,42.10208811056155,2020-09-17 04:05:06,52.01170161396354,-8.4820373442683,3.426661895109677
blur,blur,2023-02-14 18:19:11,124631,344066114.0079216,1,1,protocol,247.26030280387863,224.84424888505663,269.38959887643364,2023-02-14 18:12:35,5.721911097643882,-32.65920330762393,-41.61214754238246
1inch-network,1inch,2020-12-25 00:00:00,43786,83623057.43103743,1,1,protocol,37.91757596464678,-2.6540226685824453,-87.28353670805069,2020-12-25 02:20:17,-48.164025277289305,14.08481813467501,52.003509623358376
ether.fi,ether-fi,2024-03-18 10:35:47,87239,47897093.40005265,1,1,protocol,-4.881252343137588,8.19350670329333,113.59642155979203,2024-03-18 12:09:29,32.21709380071862,7.583337922301756,-1.5431889791924582
ellipsis-finance,ellipsis,2021-03-24 21:41:29,95473,226869610.41611248,1,1,protocol,154.6823260131053,353.2419624104932,,2021-03-24 05:00:07,56.7662768653411,-17.41261459026588,-82.36582415947248
ribbon-lend,ribbon-finance,2021-05-24 15:06:29,1331,28066198.0,1,1,protocol,-61.39061122860539,318.4292464513071,266.3364573586666,2021-10-07 15:04:02,-15.963244172429178,-50.95705882877994,-17.289163527549064
pooltogether,pooltogether,2021-02-17 02:18:23,10384,1111678.9179900028,1,1,protocol,30.80227941529099,75.27212949307702,46.95302732310742,2021-02-17 20:00:11,32.600142072442296,20.49750243098029,-11.066540770568423
gearbox,gearbox,2022-04-05 18:23:53,3565,122532000.0,1,1,protocol,-5.319173641550979,37.09363503309688,31.73349677601216,2022-12-19 04:26:33,-36.49915802004884,-46.9400614711917,-39.74297622670367
benddao,benddao,2022-03-21 04:54:26,17898,57341003.88000446,1,1,protocol,25.72506761866604,-53.90009212650122,-33.79041880583576,2022-04-04 23:31:06,-20.49604761713687,,-54.25535189586292
sudoswap,sudoswap,2023-01-30 18:56:11,870,1663797.1381570986,1,1,protocol,-0.4538239079505457,-27.18488057501325,15.07881074823576,2023-02-19 04:32:50,-33.23262839879155,-61.93432325889205,-81.18314936726871
velodrome,velodrome-finance,2022-06-01 20:54:41,13938,52238575.0,1,1,protocol,26.978860263470292,-47.2869249604227,126.31133262117866,2022-06-03 01:49:54,-67.47237729487952,-87.0249864865085,-43.47746652502641
thales,thales,2021-09-15 07:36:56,4413,604581.0,1,1,protocol,0.961281153681326,18.674561644026344,-42.44314762026482,2021-09-16 06:04:58,-2.9191564228698,-29.634124155686173,-32.91123862631696
snowswap,snowswap,2020-10-14 02:20:37,691,14158.390713783714,1,1,protocol,-48.76844788377589,-75.2333015850371,-63.81568209577107,2020-10-09 13:05:00,-67.56227229285042,-90.06888286257109,-62.93258632195097
paladin-finance,paladin,2021-11-03 20:08:19,993,283224.6217660778,1,1,protocol,-3.777668816553004,-44.53690494546989,-38.916521153514616,,,,
pangolin,pangolin,2021-02-09 17:04:58,4025,7526628.748212014,1,1,protocol,623.9055806634751,2431.7717708395294,,2021-02-19 16:00:52,-53.1851681123698,-76.07997382857278,-89.3737673975711
optimism,optimism,2022-05-31 14:39:05,160603,166252055.52461284,1,1,chain,28.90041101126204,0.1024731772945042,210.13960638506367,2022-06-01 01:24:35,-33.78217015386074,-57.03700969990643,12.507270897699534
valuedefi,value-liquidity,2021-01-19 11:40:42,1931,193100.0,1,1,protocol,10.515320856323584,127.10394637218911,4135.855820458693,2020-09-19 08:05:28,-33.849423208143506,,
hop-protocol,hop-protocol,2022-06-09 18:26:28,29325,46570774.729645655,1,1,protocol,-30.03790881416373,-32.17850778169119,-49.83942765839733,2022-06-10 02:30:48,-5.374471382771317,-19.22872476269034,6.667610777212991
