project,start,token_amount,total_claims
dappradar,2021-12-14 19:09:18+00:00,347946677.0,49365
ribbon,2021-05-24 15:06:29+00:00,28066198.0,1331
cow_protocol,2022-02-11 20:38:02+00:00,439952166.80928504,1714
forta_network,2022-06-14 22:15:25+00:00,7328000.0,3564
thales,2021-09-15 07:36:56+00:00,604581.0,4413
blur,2023-02-14 18:19:11+00:00,344066114.0079216,124631
ellipsis_finance,2021-03-24 21:41:29+00:00,226869610.41611248,95473
arkham,2023-07-18 07:41:35+00:00,29392543.048053447,64719
forefront,2021-03-31 10:09:01+00:00,512740.0,1306
sudoswap,2023-01-30 18:56:11+00:00,1663797.1381570986,870
hop_protocol,2022-06-09 18:26:28+00:00,46570774.729645655,29325
component,2021-04-27 13:12:00+00:00,927862.569464626,714
ethereum_name_service,2021-11-09 00:01:26+00:00,19631824.610388122,102821
alchemydao,2021-03-28 12:50:59+00:00,260440.0,13022
pangolin,2021-02-09 17:04:58+00:00,7526628.748212014,4025
apecoin,2022-03-17 12:13:14+00:00,146805366.0,16534
snowswap,2020-10-14 02:20:37+00:00,14158.390713783714,691
shapeshift,2021-07-08 21:11:26+00:00,15722270.0,37116
gas_dao,2021-12-29 03:39:47+00:00,169367938090.33008,79726
dydx,2021-09-08 05:24:48+00:00,243467388.0975401,88556
paraswap,2021-11-15 11:52:19+00:00,113149400.0,15078
oneinch,2020-12-25 00:08:54+00:00,83623057.43103743,43786
gearbox,2022-04-05 18:23:53+00:00,122532000.0,3565
tokenfy,2022-01-21 18:58:55+00:00,144237103.7406651,32130
genie,2022-11-23 16:26:35+00:00,2.702399999999635e-06,8718
velodrome,2022-06-01 20:54:41+00:00,52238575.0,13938
tornado_cash,2020-12-18 03:00:37+00:00,33963883.8991189,149336
looksrare,2022-01-10 08:48:12+00:00,98366481.3127054,124665
uniswap,2020-09-16 21:32:52+00:00,136992821.49465847,220970
arbitrum,2023-03-23 13:01:22+00:00,1092811500.0,583137
x2y2,2022-02-15 04:26:25+00:00,3011120687.1071415,349434
benddao,2022-03-21 04:54:26+00:00,57341003.88000446,17898
botto,2021-10-07 15:51:08+00:00,16418351.0,10295
giveth,2021-12-24 12:18:10+00:00,96047144.0,1539
paladin,2021-11-03 20:08:19+00:00,283224.6217660778,993
safe,2022-09-28 07:07:11+00:00,11059094.065162698,27101
gitcoin,2021-05-24 20:40:17+00:00,10567115.955259783,16169
etherfi,2024-03-18 10:35:47+00:00,47897093.40005265,87239
optimism,2022-05-31 14:39:05+00:00,166252055.52461284,160603
value_defi,2021-01-19 11:40:42+00:00,193100.0,1931
notional_finance,2021-11-01 15:54:12+00:00,6.690389999999989e-05,670
pooltogether,2021-02-17 02:18:23+00:00,1111678.9179900028,10384
ampleforth,2021-04-20 01:25:36+00:00,116610572.1155401,217491
galxe,2022-05-05 12:00:06+00:00,3659458.070000069,14927
